序号,省份,博物馆名称,性质,质量等级,是否免费开放,藏品数（件/套）,珍贵文物（件/套）,展览（个）,教育活动（次）,参观人数（万人次）
223,安徽省,小甸集特支纪念馆,文化文物系统国有博物馆,未定级,是,68,0,4,12,9.1196
224,安徽省,新四军第七师纪念馆,文化文物系统国有博物馆,未定级,是,800,0,3,4,26
225,安徽省,新四军军部旧址纪念馆,文化文物系统国有博物馆,二级,是,1263,6,9,105,30.2795
226,安徽省,新四军四师纪念馆,文化文物系统国有博物馆,未定级,是,98,1,2,25,2.5684
227,安徽省,休宁县状元博物馆,文化文物系统国有博物馆,二级,是,2132,880,14,31,12.2979
228,安徽省,许继慎纪念馆,文化文物系统国有博物馆,未定级,是,30,0,2,135,4.0803
229,安徽省,宣城市博物馆,文化文物系统国有博物馆,二级,是,6585,745,14,86,20.0235
230,安徽省,延园,其他行业国有博物馆,未定级,是,415,30,3,70,5.7402
231,安徽省,严凤英故居陈列馆,文化文物系统国有博物馆,未定级,是,245,0,1,5,1.2
232,安徽省,叶笃正生平陈列馆（叶氏宗祠）,文化文物系统国有博物馆,未定级,是,286,0,1,10,1.5
233,安徽省,黟县博物馆,文化文物系统国有博物馆,未定级,是,827,191,1,0,1.0696
234,安徽省,黟县茶博馆,非国有博物馆,未定级,是,220,220,1,6,1.0696
235,安徽省,黟县金星民间博物馆,非国有博物馆,未定级,是,2000,0,2,2,1.5292
236,安徽省,黟县柯村暴动纪念馆,其他行业国有博物馆,未定级,是,96,0,1,11,2.6545
237,安徽省,颍上管仲博物馆,文化文物系统国有博物馆,未定级,是,132,48,3,2,3.867
238,安徽省,张治中故居,文化文物系统国有博物馆,未定级,是,1,0,7,40,5.788
239,安徽省,中共淮海战役总前委旧址纪念馆,文化文物系统国有博物馆,三级,是,184,51,7,47,32.091
240,安徽省,中共淮海战役总前委旧址小李家纪念馆,文化文物系统国有博物馆,未定级,是,144,0,3,20,13.2877
241,安徽省,中共皖南特区委员会机关旧址纪念馆,其他行业国有博物馆,未定级,是,172,0,4,24,13.7238
242,安徽省,中共皖浙赣省委驻地旧址陈列馆,文化文物系统国有博物馆,未定级,是,30,0,4,4,2.7476
243,安徽省,中国共产党合肥历史馆,其他行业国有博物馆,未定级,是,1031,298,2,11,4.0535
244,安徽省,中国科学技术大学博物馆,其他行业国有博物馆,未定级,是,128,0,4,64,2.1049
245,安徽省,中原局第三次会议旧址纪念馆,文化文物系统国有博物馆,未定级,是,141,0,1,10,4.5
246,安徽省,周瑜史料陈列馆,文化文物系统国有博物馆,未定级,是,2003,203,5,33,2.057
247,北京市,保利艺术博物馆,其他行业国有博物馆,未定级,否,174,59,22,0,3.5817
248,北京市,北京奥运博物馆,其他行业国有博物馆,三级,是,42319,20,9,93,124.7852
249,北京市,北京百年世界老电话博物馆,非国有博物馆,未定级,否,3141,0,4,25,0.3695
250,北京市,北京菜百黄金珠宝博物馆,其他行业国有博物馆,未定级,是,318,0,10,112,15
251,北京市,北京大觉寺与团城管理处（大觉寺管理处）,文化文物系统国有博物馆,未定级,否,791,713,3,8,19.3666
252,北京市,北京大觉寺与团城管理处（团城演武厅）,文化文物系统国有博物馆,未定级,是,59,1,1,13,3.042
253,北京市,北京大戚收音机电影机博物馆,非国有博物馆,未定级,否,350,0,3,7,0.4518
254,北京市,北京大学赛克勒考古与艺术博物馆,其他行业国有博物馆,未定级,是,13000,0,3,101,10.9568
255,北京市,北京东璧堂中医药博物馆,非国有博物馆,未定级,是,66000,0,12,575,5
256,北京市,北京二锅头酒博物馆,其他行业国有博物馆,未定级,否,1165,0,2,31,49.3922
257,北京市,北京法和律师博物馆,非国有博物馆,未定级,是,1029,0,2,40,5
258,北京市,北京房山云居寺石经博物馆,文化文物系统国有博物馆,未定级,否,32502,59,12,3,24.5852
259,北京市,北京服装学院民族服饰博物馆,其他行业国有博物馆,未定级,是,5918,0,14,10,1.852
260,北京市,北京福履布鞋文化博物馆,非国有博物馆,未定级,是,306,0,4,59,2.3918
261,北京市,北京工艺美术博物馆,文化文物系统国有博物馆,三级,是,3278,662,3,10,2.1858
262,北京市,北京公交馆,其他行业国有博物馆,未定级,是,305,0,2,4,7.5016
263,北京市,北京古代建筑博物馆,文化文物系统国有博物馆,二级,否,833,48,11,32,59.9193
264,北京市,北京韩美林艺术馆,其他行业国有博物馆,未定级,是,2600,0,2,50,9.7596
265,北京市,北京航空航天博物馆,其他行业国有博物馆,未定级,是,350,0,1,65,7.3227
266,北京市,北京航空航天模型博物馆,其他行业国有博物馆,未定级,是,40,0,1,1,3.52
267,北京市,北京红楼文化艺术博物馆,文化文物系统国有博物馆,未定级,否,2951,0,5,120,103
268,北京市,北京怀柔喇叭沟门满族民俗博物馆,非国有博物馆,未定级,是,1300,0,1,0,3
269,北京市,北京皇城艺术馆,其他行业国有博物馆,未定级,是,733,0,11,2,0.6
270,北京市,北京皇城御窑金砖博物馆,非国有博物馆,未定级,否,315,0,4,2,0.04
